city_name,graph_area,n,m,k_avg,intersection_count,streets_per_node_avg,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,degree_centrality_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,pagerank_max_node,pagerank_max,pagerank_min_node,pagerank_min,pos,hours_congestion,year_change,cost,inner_time,inner_mile_speed
shantou,3385904309.4640694,6986,16254,4.653306613226453,5537,2.7928714572001145,6205377.604000064,381.77541552848913,3704701.222999985,380.98531705059503,9724,2.063259726647669,1.6353090619021105,1832.709089461028,1094.1541415227937,1.07890729766,0.0003076165866863541,,,2.6446058784235067,0.028110845897221338,0.0006661856282357311,0.04687470178452123,0.0005521400461191013,3357190060,0.0006054546248621432,1315997923,2.171917064902171e-05,,,,,,
wuhan,11312369229.596355,24375,55547,4.557702564102564,20113,2.8522666666666665,20070961.160999827,361.3329461717073,13154019.729000024,378.31520647109636,34770,2.1547210407726185,1.7779653043306534,1774.249120908158,1162.799716135979,1.0765197144399998,0.0022143410085153107,,,2.5066933333333634,0.026779315912252927,0.00018699034069509385,0.049541587301587815,0.0002606812077316523,2418779897,0.0002718040966846858,2659788218,6.330757619686503e-06,,,,,,
saint petersburg,867911590.2396469,13062,27958,4.280814576634512,11961,3.079390598683203,4758233.912999959,170.1922137849617,3390143.448999989,169.32091943861695,20022,15.04991999979322,13.781357611202473,5482.3947122150075,3906.093071143232,1.03938581998,0.0004292152514486015,,,2.268465717834125,0.040339818930319085,0.00032775549932118254,0.05980889676342172,0.0007777801685974451,106191031,0.00042590415966499125,699900,1.1560473920896755e-05,9 (9),200 (12),-5%,-,6,11
singapore,772475813.8142202,22187,43143,3.8890341190787403,19678,2.9738585658268355,5745133.521999981,133.1649055930274,4422154.085000016,133.98030918620904,33006,28.721934853142155,25.473936721509503,7437.298902126769,5724.65054040325,1.0817372510299998,0.003639060797811928,,,2.086668619762329,0.03910119037494631,0.000175292261745142,0.113163864725589,0.0009082256824119717,395054088,0.0002059774800154296,239886623,6.804223857539936e-06,14 (14),105 (105),-2%,-,4,15
casablanca,246196097.4838565,29830,79622,5.338384177003016,27856,3.06235333556822,5745317.263000056,72.15740954761317,3427543.9990000427,75.07982123455803,45652,121.16357775312015,113.14557901075813,23336.34578987096,13922.007838588072,1.04823116759,0.0014192057471553087,,,2.8026484204140627,0.06285904676113613,0.00017896624684041093,0.042495570135529584,0.0008704786732655011,770235547,0.00014152574641696823,458740775,5.040609022600793e-06,,,,,,
foshan,5916361778.032709,38695,90334,4.6690270060731365,32632,2.887117198604471,21454725.36899993,237.50443209644132,14051352.762000015,251.73064300686173,55819,6.540337026662818,5.5155518246300845,3626.3376334862987,2374.998907972854,1.0711268349,0.0015498040604866384,,,2.557774352537161,0.027856854818843476,0.00012066540047742725,0.05274447910705585,0.0004467203093345383,1206306990,0.00012663002442820615,2048126028,3.952578610474745e-06,,,,,,
yangon,1300951702.2028208,46277,131570,5.686194005661559,40568,2.9652527173325844,12943860.148000145,98.3800269666348,6748995.001999905,98.3503104252267,68622,35.571651062558296,31.183325200550275,9949.531659079355,5187.736785748657,1.0346083599,0.0005700387626358592,,,3.0481020089170734,0.043790227275571435,0.00012287565921120596,0.02802595550396805,0.0003434820169079523,490612525,9.440567139447053e-05,270874198,3.2428440996892325e-06,,,,,,
hyderabad,923083835.2610537,136022,366800,5.393245210333623,109715,2.7678096190322155,22120335.140999664,60.306257200108135,11495175.90400005,61.31578025870142,187475,147.3560632350713,118.8570266415422,23963.516959154527,12453.013978680652,1.0442855737299999,0.0004498364231188658,,,3.0201625122260736,0.17325591311123806,3.965009234105717e-05,0.02317853344452141,0.00020000491081747569,3598282402,2.6553495426629847e-05,1595389590,1.1044001050603263e-06,,,,,,
rio de janeiro,1439490458.9996927,63257,157498,4.979622808542928,52467,2.808400651311317,16692394.35499996,105.9848020609783,9632927.903000033,108.31181513880648,88937,43.944021722768156,36.448313826588,11596.043760234135,6691.901181265202,1.05844956177,0.001879388944621519,,,2.743307460044043,0.042575529007880836,7.872174668878054e-05,0.041667061879845715,0.00033021286606674195,349338299,6.886615715399872e-05,145760586,2.375254092933078e-06,7 (8),199 (13),15%,-,5,13
istanbul,7939184074.515598,193628,520722,5.378581610097713,173155,2.957862499225319,48735564.60000061,93.59229031997995,27521543.26600029,96.02302492551055,286614,24.38890422273198,21.810175752923932,6138.611240472358,3466.5455552722497,1.06736958173,0.001173370819746429,,,2.8613601424719537,0.05285557705719872,2.7778055798478157e-05,0.03799470167143516,0.0001830993065928756,1833053305,1.7961889315889497e-05,813585032,7.76786771109832e-07,2 (3),157 (32),6%,-,6,10
