city_name;graph_area;n;m;k_avg;intersection_count;streets_per_node_avg;edge_length_total;edge_length_avg;street_length_total;street_length_avg;street_segments_count;node_density_km;intersection_density_km;edge_density_km;street_density_km;circuity_avg;self_loop_proportion;clean_intersection_count;clean_intersection_density_km;avg_neighbor_degree_avg;avg_weighted_neighbor_degree_avg;degree_centrality_avg;clustering_coefficient_avg;clustering_coefficient_weighted_avg;pagerank_max_node;pagerank_max;pagerank_min_node;pagerank_min
"""Singapore, Singapore""";772475813.8142202;22170;43129;3.8907532701849346;19661;2.9738836265223276;5746357.3779999735;133.23650856732067;4421810.158000012;134.0714398593133;32981;28.699927691628503;25.45192955999585;7438.883231342138;5724.2053135186625;1.08195323184;0.003640242064504162;;;2.087851450909644;0.03912593793426639;0.00017550422978871127;0.11322808600210386;0.0009097440657552036;243855578;0.00021454652652716508;239886623;6.809444183910192e-06
"""San Diego, United States""";1643379362.8164089;30708;75272;4.902435847336199;23466;2.755731405496939;10995736.913999995;146.08004190137098;6571994.858000007;155.86744279480143;42164;18.685886347856346;14.279113229086787;6690.930385760473;3999.073498608977;1.07748115173;0.003772983313848443;;;2.8054936824280254;0.03324726755377547;0.00015965206133242287;0.04000911814510876;0.0007327459366469034;49295475;0.000149351344517782;48948364;4.921978581702567e-06
"""Lucknow, India""";2691399316.6353893;22563;60182;5.334574303062536;19812;2.9106944998448787;10344346.375000011;171.88439026619272;5621796.314999987;171.39100378037216;32801;8.383371378798884;7.361226510515601;3843.4825746823158;2088.800528502767;1.08705291913;0.0006978830879665016;;;2.859706894768829;0.04185194044663634;0.00023644066585692665;0.040715625877174394;0.0003262161535094364;2215163977;0.00018923800301467498;3655944932;6.655777784835738e-06
"""Berlin, Germany""";1126811850.99867;28574;74344;5.203611674949254;25169;3.00332470077693;10675170.266999952;143.59155099268202;6140689.15500004;143.19969112914603;42882;25.3582707482846;22.33647079385368;9473.782386596991;5449.613570852734;1.04143194289;0.0023942752609491013;;;2.8081618487669413;0.05158196827445103;0.0001821163922215767;0.05050395464408105;0.0006157183484151909;26804478;0.00016968656288192467;12696810;5.263500415170543e-06
"""Urumqi , China""";19374301678.24233;11448;26297;4.594164919636618;8980;2.6705101327742837;10439316.89200002;396.97748381944785;6305192.561000004;412.83261710207586;15273;0.5908858130797199;0.4635005766470898;538.8228729670061;325.44102315082887;1.07065434075;0.0009126516332661521;;;2.6086376077334905;0.02453651274025085;0.0004013422660642306;0.028646301287810646;0.0002164253488456717;437233296;0.0005299884855837094;5895273564;1.3283790133648813e-05
"""Karachi, Pakistan""";4573389939.585521;57598;159381;5.534254661620195;51762;3.010920518073544;18869985.644000538;118.39545268256904;10802345.957999913;124.57154340606016;86716;12.594158985100671;11.31808148523874;4126.0390855083515;2361.999764004141;1.04051166192;0.000338810774182619;;;2.9600408579002817;0.04530468996621051;9.60858145670087e-05;0.02372999062467399;0.00010325841652042489;733864160;8.638578294679008e-05;292559434;2.6140154151005254e-06
"""Wenzhou, China""";16285088754.440361;16074;37101;4.616274729376633;13216;2.609991290282444;15478206.710999895;417.1910921808009;9188245.360999996;438.2032316386873;20968;0.9870379119436604;0.8115399430289546;950.4527082653781;564.2121759081411;1.17404663543;0.0005660224791784587;;;2.575625233296005;0.05267838327836496;0.0002872067896084325;0.027217867363444018;0.00021492503171614493;2492144564;0.0003128627158413247;3868832339;9.44554141442866e-06
"""Changsha, China""";13982192513.574627;18778;43099;4.590371711577378;15526;2.925497923101502;17470698.04100002;405.36202791248104;11274859.454999981;410.93630699420424;27437;1.342993953328089;1.110412403843429;1249.4963164066417;806.3727805244972;1.08747181063;0.0015313580361493305;;;2.5207194716208248;0.027617377008944247;0.0002444677909984015;0.039202663704741056;0.00033610946429397085;5470975692;0.00028452305664456985;2293600094;8.229376599811537e-06
"""Surat, India""";5734104178.262137;15602;38367;4.9182156133829;12010;2.707088834764774;10795374.738000045;281.3713539760744;5873134.704999961;278.9557663626846;21054;2.720913243806563;2.0944858388742995;1882.6610752774725;1024.2462505764868;1.06909248519;0.0003388328511481221;;;2.838230141434909;0.03928435366205933;0.00031525002329229154;0.037997265307866644;0.0005855363416092001;5493603969;0.0003019906873274597;4916489595;9.636732370188353e-06
"""Kabul, Afghanistan""";4651138282.886364;31507;82244;5.2206811184816075;24478;2.689211921160377;12735494.922999766;154.8501401074822;6577484.499;155.23186299915037;42372;6.774040693635892;5.262797730625556;2738.145836226671;1414.1666187826606;1.06732078793;0.0004985166091143427;;;2.9473746574834285;0.03637265650174993;0.00016570434579073453;0.019312110536282963;0.0001654325361137445;25914150;0.00015156612127947648;104336684;4.7612321433956165e-06
"""Rome, Italy""";1781679401.6494622;42435;88538;4.172876163544244;35603;2.8204548132437846;11217073.269000042;126.69219170299806;7225381.626999989;120.89451572800571;59766;23.817416287528538;19.982831909623624;6295.786581253271;4055.376977648615;1.07290147719;0.0032641351735977773;;;2.2900007855150695;0.040365294003821495;9.833803467843537e-05;0.06239784095563682;0.00051599248276636;296361339;0.00011954720910852363;31409190;3.5493928888625187e-06
"""Bangalore, India""";794227931.8240017;90072;243397;5.404498623323564;73907;2.803301803002043;19314534.175999686;79.35403548934327;10267228.087999897;81.40517810108938;126125;113.40825018977004;93.05515084349558;24318.62869849272;12927.306729719852;1.04369689632;0.0009860433776915903;;;2.997381539213586;0.052896967795191784;6.000264928031562e-05;0.026146067273165256;0.0002471426546104429;1273685043;4.259322850978746e-05;265518566;1.6674877052309157e-06
